Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2013-06-16 21:07:32;2013-06-17 03:15:00;47%;6:07;;;;0
2013-06-17 20:58:55;2013-06-18 03:09:10;71%;6:10;;;;0
2013-06-18 21:29:28;2013-06-19 03:22:04;60%;5:52;;;;0
2013-06-19 20:59:30;2013-06-20 03:29:46;54%;6:30;;;;0
2013-06-20 20:03:04;2013-06-21 02:58:09;72%;6:55;;;;0
2013-06-21 20:41:11;2013-06-22 01:41:49;52%;5:00;;;;0
2013-06-23 20:34:59;2013-06-24 02:57:14;58%;6:22;;;;0
2013-06-24 20:32:50;2013-06-25 03:00:03;54%;6:27;;;;0
2013-06-25 19:39:40;2013-06-26 02:59:41;86%;7:20;;;;0
2013-06-26 21:55:31;2013-06-27 02:46:31;49%;4:51;;;;0
2013-06-27 20:35:59;2013-06-28 01:35:18;31%;4:59;;;;0
2013-06-28 22:20:27;2013-06-29 04:53:09;61%;6:32;;;;0
2013-06-30 20:30:39;2013-07-01 02:50:49;54%;6:20;;;;0
2013-07-01 19:48:28;2013-07-02 02:57:26;70%;7:08;;;;0
2013-07-02 19:36:45;2013-07-03 02:50:41;76%;7:13;;;;0
2013-07-04 20:51:33;2013-07-05 03:18:14;49%;6:26;;;;0
2013-07-06 20:53:30;2013-07-07 05:29:01;79%;8:35;;;;0
2013-07-07 21:38:10;2013-07-08 03:28:31;58%;5:50;;;;0
2013-07-08 20:30:10;2013-07-09 02:59:53;65%;6:29;;;;0
2013-07-09 21:51:09;2013-07-10 02:46:01;60%;4:54;;;;0
2013-07-10 20:08:32;2013-07-11 03:02:11;77%;6:53;;;;0
2013-07-11 22:17:46;2013-07-12 03:02:15;41%;4:44;;;;0
2013-07-29 19:55:48;2013-07-30 03:30:36;90%;7:34;;;;0
2013-07-30 20:02:47;2013-07-31 03:27:30;89%;7:24;;;;0
2013-07-31 20:14:51;2013-08-01 03:53:54;88%;7:39;;;;0
2013-08-01 21:28:13;2013-08-02 03:30:14;57%;6:02;;;;0
2013-08-02 20:49:01;2013-08-03 04:51:53;89%;8:02;;;;0
2013-08-04 20:33:31;2013-08-05 03:29:22;78%;6:55;;;;0
2013-08-05 20:19:46;2013-08-06 03:15:29;69%;6:55;;;;0
2013-08-06 19:59:17;2013-08-07 02:58:34;83%;6:59;;;;0
2013-08-07 18:52:10;2013-08-08 03:00:04;95%;8:07;;;;0
2013-08-08 19:43:42;2013-08-09 03:00:23;78%;7:16;;;;0
2013-08-09 20:42:33;2013-08-10 05:57:43;95%;9:15;;;;0
2013-08-10 20:53:30;2013-08-11 05:50:11;71%;8:56;;;;0
2013-08-11 20:45:04;2013-08-12 02:59:53;65%;6:14;;;;0
2013-08-12 20:02:59;2013-08-13 02:47:58;67%;6:44;;;;0
2013-08-13 20:22:12;2013-08-14 03:00:38;65%;6:38;;;;0
2013-08-14 20:58:54;2013-08-15 03:15:25;60%;6:16;;;;0
2013-08-15 21:36:27;2013-08-16 03:14:59;56%;5:38;;;;0
2013-08-16 22:28:22;2013-08-17 05:03:17;60%;6:34;;;;0
2013-08-18 20:03:19;2013-08-19 03:01:12;82%;6:57;;;;0
2013-08-19 20:50:51;2013-08-20 02:59:53;73%;6:09;;;;0
2013-08-20 19:55:01;2013-08-21 02:40:14;79%;6:45;;;;0
2013-08-21 19:22:03;2013-08-22 02:31:50;80%;7:09;;;;0
2013-08-22 18:34:05;2013-08-23 03:15:02;92%;8:40;;;;0
2013-08-25 18:30:30;2013-08-26 03:09:54;86%;8:39;;;;0
2013-08-26 19:31:40;2013-08-27 03:01:22;77%;7:29;;;;0
2013-08-27 19:16:16;2013-08-28 02:59:39;68%;7:43;;;;0
2013-08-28 19:52:21;2013-08-29 02:52:38;85%;7:00;;Stressful day;;0
2013-08-29 19:41:31;2013-08-30 03:00:48;83%;7:19;;;;0
2013-09-02 21:07:20;2013-09-03 02:59:05;64%;5:51;;;;0
2013-09-03 19:56:01;2013-09-04 03:29:05;90%;7:33;;;;0
2013-09-04 19:38:16;2013-09-05 02:56:04;65%;7:17;;;;0
2013-09-05 20:12:32;2013-09-06 02:57:48;67%;6:45;;;;0
2013-09-06 20:58:13;2013-09-07 03:59:41;84%;7:01;;;;0
2013-09-09 18:52:10;2013-09-10 02:59:45;83%;8:07;;;;0
2013-09-10 19:29:20;2013-09-11 03:01:02;83%;7:31;;;;0
